OLD URL,Action,NEW URL,Family,Template,Entry visits,GSC clicks,GSC impressions,Backlinks,Indexed?,Assets,QA status,Notes
/daily-french-lesson-code.html,KEEP,/daily-french-lesson-code.html,lesson (other),bespoke,4404,,,,,10,,h1_count=0; rotator; embed/syndication source (decision #3)
/daily-french-lesson.html,KEEP,/daily-french-lesson.html,lesson (other),bespoke,31057,,,,,6,,rotator
/daily-german-lesson-code.html,HOLD,,lesson (other),bespoke,0,,,,,5,,no entry traffic in 6yr; h1_count=2; rotator; embed/syndication source (decision #3)
/daily-german-lesson.html,KEEP,/daily-german-lesson.html,lesson (other),bespoke,77,,,,,5,,rotator
/daily-italian-lesson-code.html,KEEP,/daily-italian-lesson-code.html,lesson (other),bespoke,636,,,,,5,,rotator; embed/syndication source (decision #3)
/daily-italian-lesson.html,KEEP,/daily-italian-lesson.html,lesson (other),bespoke,18770,,,,,6,,TrafficWave; rotator
/daily-spanish-lesson-code.html,KEEP,/daily-spanish-lesson-code.html,lesson (other),bespoke,787,,,,,5,,h1_count=2; rotator; embed/syndication source (decision #3)
/daily-spanish-lesson.html,KEEP,/daily-spanish-lesson.html,lesson (other),bespoke,41148,,,,,6,,rotator
/daily-spanish-verb.html,KEEP,/daily-spanish-verb.html,verbs/grammar (bespoke),bespoke,207,,,,,10,,
/daily-verb-lessons.html,301,/daily-lessons,(not in sitemap),?,23,,,,,10,,301 target (hub TBD); redirect chain len 1
/doctor-comment-form.html,301,/doctor.html,(unknown),,0,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/doctor.html,KEEP,/doctor.html,OTHER / bespoke,bespoke,383,,,,,0,,h1_count=2
/e-flashcardz.html,KEEP,/e-flashcardz.html,course tools,bespoke,35,,,,,14,,
/earworms.html,KEEP,/earworms.html,OTHER / bespoke,bespoke,604,,,,,10,,h1_count=0
/easter-in-france.html,KEEP,/easter-in-france.html,OTHER / bespoke,bespoke,176,,,,,11,,h1_count=3
