path,family,type,entry_visits_total,pageviews_total,months_seen,entry_visits_avg,first_month,last_month,trend
/spanish-verb-encontrar.html,verb-conjugation (lang-verb-X),TEMPLATED,11115,15575,73,152.3,2020-09,2026-09,+48%
/spanish-verb-incluir.html,verb-conjugation (lang-verb-X),TEMPLATED,11081,14858,73,153.9,2020-09,2026-09,+36%
/5Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,11070,15407,73,151.6,2020-09,2026-09,+1%
/spanish-verb-coger.html,verb-conjugation (lang-verb-X),TEMPLATED,10898,14601,69,157.9,2020-09,2026-09,-72%
/french-verb-partir.html,verb-conjugation (lang-verb-X),TEMPLATED,10811,15639,73,152.3,2020-09,2026-09,-51%
/spanish-verb-tener.html,verb-conjugation (lang-verb-X),TEMPLATED,10454,13135,71,158.4,2020-09,2026-09,+665%
/ten-most-important-spanish-verbs.html,OTHER / bespoke,bespoke,10162,18377,73,139.2,2020-09,2026-09,-19%
/language-learning-sitemap.html,OTHER / bespoke,bespoke,9984,17221,73,136.8,2020-09,2026-09,+39%
/spanish-verb-aprender.html,verb-conjugation (lang-verb-X),TEMPLATED,9974,15346,71,140.5,2020-09,2026-09,-54%
/spanish-verb-venir.html,verb-conjugation (lang-verb-X),TEMPLATED,9964,15624,73,136.5,2020-09,2026-09,-33%
/spanish-verb-mirar.html,verb-conjugation (lang-verb-X),TEMPLATED,9813,13836,73,134.4,2020-09,2026-09,-0%
/french-verb-mentir.html,verb-conjugation (lang-verb-X),TEMPLATED,9779,11783,58,191.7,2020-09,2026-09,+280%
/spanish-verb-morder.html,verb-conjugation (lang-verb-X),TEMPLATED,9645,13647,73,132.1,2020-09,2026-09,+54%
/spanish-verb-apetecer.html,verb-conjugation (lang-verb-X),TEMPLATED,9622,13123,73,135.5,2020-09,2026-09,+133%
/french-verb-entendre.html,verb-conjugation (lang-verb-X),TEMPLATED,9553,14416,73,132.7,2020-09,2026-09,-67%
/spanish-verb-perder.html,verb-conjugation (lang-verb-X),TEMPLATED,9515,14019,73,132.2,2020-09,2026-09,-40%
/spanish-verb-huir.html,verb-conjugation (lang-verb-X),TEMPLATED,9507,12818,73,132.0,2020-09,2026-09,+174%
/learn-french-blog.html,blog,bespoke,9461,19972,73,131.4,2020-09,2026-09,+50%
/french-verb-recevoir.html,verb-conjugation (lang-verb-X),TEMPLATED,9214,13587,72,128.0,2020-09,2026-09,-40%
/french-in-action.html,OTHER / bespoke,bespoke,9135,16614,73,125.1,2020-09,2026-09,+40%
/15Jul-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,9126,12428,73,125.0,2020-09,2026-09,-28%
/spanish-verb-cerrar.html,verb-conjugation (lang-verb-X),TEMPLATED,9116,13349,70,130.2,2020-09,2026-09,-46%
/spanish-verb-correr.html,verb-conjugation (lang-verb-X),TEMPLATED,9023,13080,63,158.3,2020-09,2026-09,-75%
/free-french-lessons.html,lesson (other),bespoke,8875,17857,73,121.6,2020-09,2026-09,+124%
/french-verb-se-raser.html,verb-conjugation (lang-verb-X),TEMPLATED,8872,11789,70,132.4,2020-09,2026-09,-74%
/spanish-verb-preferir.html,verb-conjugation (lang-verb-X),TEMPLATED,8846,13239,71,124.6,2020-09,2026-09,-44%
/learn-welsh.html,course landing,bespoke,8778,19571,73,120.2,2020-09,2026-09,+198%
/spanish-verb-barrer.html,verb-conjugation (lang-verb-X),TEMPLATED,8747,12697,72,121.5,2020-09,2026-09,+70%
/spanish-verb-vestir.html,verb-conjugation (lang-verb-X),TEMPLATED,8743,12312,71,123.1,2020-09,2026-09,-72%
/13Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,8664,12745,73,118.7,2020-09,2026-09,-27%
/french-verb-venir.html,verb-conjugation (lang-verb-X),TEMPLATED,8627,13687,73,118.2,2020-09,2026-09,-32%
/spanish-verb-contestar.html,verb-conjugation (lang-verb-X),TEMPLATED,8580,12451,63,136.2,2020-09,2025-11,-66%
/spanish-verb-asistir.html,verb-conjugation (lang-verb-X),TEMPLATED,8511,12292,64,135.1,2020-09,2026-09,-71%
/spanish-verb-enviar.html,verb-conjugation (lang-verb-X),TEMPLATED,8394,11880,72,116.6,2020-09,2026-09,-57%
/29Oct-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,8348,12990,72,115.9,2020-09,2026-09,-25%
/spanish-verb-orar.html,verb-conjugation (lang-verb-X),TEMPLATED,8023,11213,73,109.9,2020-09,2026-09,+64%
/spanish-verb-prevenir.html,verb-conjugation (lang-verb-X),TEMPLATED,7943,11371,73,108.8,2020-09,2026-09,+6%
/spanish-verb-divertirse.html,verb-conjugation (lang-verb-X),TEMPLATED,7914,11542,73,108.4,2020-09,2026-09,-32%
/total-immersion.html,OTHER / bespoke,bespoke,7861,12754,73,107.7,2020-09,2026-09,-22%
/learn-spanish-blog.html,blog,bespoke,7729,17250,73,108.9,2020-09,2026-09,-44%
/french-for-finish.html,X-for-word lessons,TEMPLATED-ish,7720,10749,64,120.6,2020-09,2026-04,-69%
/spanish-verb-conducir.html,verb-conjugation (lang-verb-X),TEMPLATED,7693,11264,72,108.4,2020-09,2026-09,-21%
/19Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7687,11738,73,105.3,2020-09,2026-09,-15%
/language-learning-blog.html,blog,bespoke,7645,18874,73,104.7,2020-09,2026-09,+111%
/17Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7600,11349,72,105.6,2020-09,2026-08,-17%
/french-verb-tenir.html,verb-conjugation (lang-verb-X),TEMPLATED,7503,11025,70,107.2,2020-09,2026-08,-62%
/spanish-lesson-list.html,lesson (other),bespoke,7493,15845,73,102.6,2020-09,2026-09,+34%
/spanish-verb-responder.html,verb-conjugation (lang-verb-X),TEMPLATED,7492,10849,73,102.6,2020-09,2026-09,+31%
/10Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7475,11034,73,102.4,2020-09,2026-09,+9%
/12Oct-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7457,12515,73,102.2,2020-09,2026-09,-31%
/4Sep-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7339,10224,71,103.4,2020-09,2026-09,+153%
/spanish-verb-medir.html,verb-conjugation (lang-verb-X),TEMPLATED,7338,10660,73,100.5,2020-09,2026-09,-23%
/spanish-verb-hervir.html,verb-conjugation (lang-verb-X),TEMPLATED,7285,10706,72,102.6,2020-09,2026-09,-28%
/spanish-verb-querer.html,verb-conjugation (lang-verb-X),TEMPLATED,7261,11190,72,102.3,2020-09,2026-09,-13%
/17Jul-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7185,10532,73,98.4,2020-09,2026-09,+71%
/spanish-verb-gozar.html,verb-conjugation (lang-verb-X),TEMPLATED,7059,10014,73,96.7,2020-09,2026-09,+65%
/14Jan-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7037,10069,73,97.7,2020-09,2026-09,+9%
/spanish-verb-abrazar.html,verb-conjugation (lang-verb-X),TEMPLATED,7029,10389,72,99.0,2020-09,2026-09,+16%
/learn-italian.html,course landing,bespoke,7028,14304,73,96.3,2020-09,2026-09,+173%
/french-verb-se-disputer.html,verb-conjugation (lang-verb-X),TEMPLATED,6985,10084,72,97.0,2020-09,2026-09,-27%
/24Oct-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6969,10052,73,95.5,2020-09,2026-09,+51%
/french-bescherelle.html,OTHER / bespoke,bespoke,6928,9898,73,94.9,2020-09,2026-09,+54%
/french-for-station.html,X-for-word lessons,TEMPLATED-ish,6903,10244,73,94.6,2020-09,2026-09,+72%
/free-spanish-lesson.html,lesson (other),bespoke,6891,16074,73,95.7,2020-09,2026-09,+217%
/spanish-verb-duchar.html,verb-conjugation (lang-verb-X),TEMPLATED,6760,10384,73,92.6,2020-09,2026-09,+1%
/spanish-verb-crecer.html,verb-conjugation (lang-verb-X),TEMPLATED,6745,9206,71,95.0,2020-09,2026-09,+281%
/spanish-verb-fregar.html,verb-conjugation (lang-verb-X),TEMPLATED,6739,10032,73,92.3,2020-09,2026-09,+64%
/word-of-the-day.html,word-of-day (other),bespoke,6725,15513,73,92.1,2020-09,2026-09,+197%
/spanish-verb-obedecer.html,verb-conjugation (lang-verb-X),TEMPLATED,6722,10011,73,92.1,2020-09,2026-09,+42%
/1Dec-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6642,10003,73,91.0,2020-09,2026-09,+15%
/spanish-verb-recordar.html,verb-conjugation (lang-verb-X),TEMPLATED,6632,9807,63,108.7,2020-09,2026-09,-71%
/french-verb-sentir.html,verb-conjugation (lang-verb-X),TEMPLATED,6619,9565,70,94.6,2020-09,2026-09,-41%
/important-french-verbs.html,OTHER / bespoke,bespoke,6594,11108,73,90.3,2020-09,2026-09,+3%
/memory-masters.html,OTHER / bespoke,bespoke,6577,15116,73,91.3,2020-09,2026-09,-27%
/spanish-verb-toser.html,verb-conjugation (lang-verb-X),TEMPLATED,6575,9564,71,92.6,2020-09,2026-08,+0%
/link-to-us.html,OTHER / bespoke,bespoke,6522,15295,73,89.3,2020-09,2026-09,+194%
/spanish-verb-continuar.html,verb-conjugation (lang-verb-X),TEMPLATED,6521,11436,73,90.6,2020-09,2026-09,+36%
/1Nov-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6485,9670,73,88.8,2020-09,2026-09,+7%
/linkword.html,OTHER / bespoke,bespoke,6463,10777,73,88.5,2020-09,2026-09,+14%
/french-verb-avoir.html,verb-conjugation (lang-verb-X),TEMPLATED,6439,12170,73,88.2,2020-09,2026-09,+20%
/french-verb-etre.html,verb-conjugation (lang-verb-X),TEMPLATED,6422,12616,73,88.0,2020-09,2026-09,+23%
/french-pronunciation-guide.html,OTHER / bespoke,bespoke,6372,12781,73,87.3,2020-09,2026-09,+35%
/french-verb-visiter.html,verb-conjugation (lang-verb-X),TEMPLATED,6365,9794,73,89.6,2020-09,2026-09,+180%
/spanish-verb-beber.html,verb-conjugation (lang-verb-X),TEMPLATED,6327,10397,70,93.0,2020-09,2026-09,-41%
/french-for-sausage.html,X-for-word lessons,TEMPLATED-ish,6314,10046,73,86.5,2020-09,2026-09,+151%
