primary_legacy_refn,source_kind,source_filename,source_path,target_ext,all_legacy_refns_count,all_legacy_refns
749,jpg,"sport ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/sport ,il.jpg",jpg,2,"749,10749"
750,jpg,"spring ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/spring ,la.jpg",jpg,1,750
751,jpg,"stairs ,le.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/stairs ,le.jpg",jpg,2,"751,10751"
752,jpg,"star ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/star ,la.jpg",jpg,2,"752,10752"
753,jpg,"station ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/station ,la.jpg",jpg,2,"753,10753"
754,jpg,"steak ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/steak ,la.jpg",jpg,1,754
755,jpg,"still (nevertheless) ,adv.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/still (nevertheless) ,adv.jpg",jpg,2,"755,10755"
756,jpg,"stone ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/stone ,la.jpg",jpg,2,"756,10756"
757,jpg,"stool ,lo.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/stool ,lo.jpg",jpg,2,"757,10757"
758,jpg,"stranger ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/stranger ,l (m).jpg",jpg,2,"758,10758"
759,jpg,"strawberry ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/strawberry ,la.jpg",jpg,2,"759,10759"
760,jpg,"stream ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/stream ,il.jpg",jpg,2,"760,10760"
761,jpg,"street ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/street ,la.jpg",jpg,2,"761,10761"
762,jpg,"strong ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/strong ,adj.jpg",jpg,2,"762,10762"
763,jpg,"student ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/student ,il.jpg",jpg,2,"763,10763"
